"","id","kistelepules","total","fidesz","ellenzek","is_fidesz","is_ellenzek","megyeid","megye","telepid","telep","oevk","szavazokor","ervenyes","ervenytelen","part","values"
"34","bögöt-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",14,"Bögöt",2,"001",251,0.00790513833992095,"fidesz",0.735177865612648
"35","bögöte-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",15,"Bögöte",3,"001",182,0.00546448087431694,"fidesz",0.562841530054645
"36","borgáta-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",11,"Borgáta",3,"001",74,0.0263157894736842,"fidesz",0.592105263157895
"37","borzavár-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",43,"Borzavár",4,"001",435,0.00229357798165138,"fidesz",0.564220183486238
"38","bükkszentmárton-001",1,2,1,0,1,"nincs ellenzéki",10,"HEVES",17,"Bükkszentmárton",2,"001",144,0.0136986301369863,"fidesz",0.465753424657534
"39","büttös-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",57,"Büttös",4,"001",114,0.0256410256410256,"fidesz",0.683760683760684
"40","cák-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",19,"Cák",2,"001",167,0.00595238095238095,"fidesz",0.636904761904762
"41","cakóháza-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",21,"Cakóháza",5,"001",37,0.0263157894736842,"fidesz",0.710526315789474
"42","cirák-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",22,"Cirák",3,"001",303,0.0194174757281553,"fidesz",0.689320388349515
"43","csáfordjánosfa-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",24,"Csáfordjánosfa",3,"001",133,0.0148148148148148,"fidesz",0.562962962962963
"44","csánig-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",23,"Csánig",2,"001",218,0.0135746606334842,"fidesz",0.778280542986425
"45","csatár-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",34,"Csatár",1,"001",311,0.00955414012738853,"fidesz",0.550955414012739
"46","csehbánya-001",1,2,1,0,1,"nincs ellenzéki",19,"VESZPRÉM",46,"Csehbánya",1,"001",190,0.0256410256410256,"fidesz",0.635897435897436
"47","csehimindszent-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",25,"Csehimindszent",3,"001",177,0.0111731843575419,"fidesz",0.642458100558659
"48","csénye-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",28,"Csénye",2,"001",404,0.00246913580246914,"fidesz",0.696296296296296
"49","cserénfa-001",1,2,0,1,0,"van ellenzéki",15,"SOMOGY",38,"Cserénfa",1,"001",123,0.016,"fidesz",0.56
"50","csibrák-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",15,"Csibrák",2,"001",121,0.032,"fidesz",0.648
"51","csikóstottos-001",1,2,1,0,1,"nincs ellenzéki",17,"TOLNA",16,"Csikóstottos",2,"001",441,0.0112107623318386,"fidesz",0.569506726457399
"52","csikvánd-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",26,"Csikvánd",3,"001",269,0.0218181818181818,"fidesz",0.76
"53","csipkerek-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",29,"Csipkerek",3,"001",205,0.00485436893203883,"fidesz",0.752427184466019
"54","csönge-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",30,"Csönge",2,"001",210,0.004739336492891,"fidesz",0.791469194312796
"55","csonkamindszent-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",49,"Csonkamindszent",4,"001",85,0.0340909090909091,"fidesz",0.75
"56","csörnyeföld-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",41,"Csörnyeföld",3,"001",188,0.00529100529100529,"fidesz",0.582010582010582
