"","id","kistelepules","total","fidesz","ellenzek","is_fidesz","is_ellenzek","megyeid","megye","telepid","telep","oevk","szavazokor","ervenyes","ervenytelen","orsz_fidesz","orsz_jobbik","orsz_lmp","orsz_mszp","orsz_dk","orsz_egyutt","orsz_momentum","orsz_mkkp"
"1","aba-001",0,5,2,3,1,1,7,"FEJÉR",1,"Aba",5,"001",581,0.0152542372881356,0.571186440677966,0.257627118644068,0.0610169491525424,0.0610169491525424,0.00847457627118644,0.00169491525423729,0.00847457627118644,0.00847457627118644
"2","aba-002",0,4,2,2,1,1,7,"FEJÉR",1,"Aba",5,"002",566,0.0190641247833622,0.622183708838821,0.197573656845754,0.0381282495667244,0.072790294627383,0.0363951473136915,0.00346620450606586,0.00866551126516464,0.00519930675909879
"3","aba-003",0,3,2,1,1,1,7,"FEJÉR",1,"Aba",5,"003",125,0.0310077519379845,0.565891472868217,0.255813953488372,0.0310077519379845,0.0387596899224806,0.0387596899224806,0,0.0232558139534884,0.0232558139534884
"4","aba-004",0,4,2,2,1,1,7,"FEJÉR",1,"Aba",5,"004",122,0.024,0.552,0.28,0.056,0.048,0.024,0.008,0,0.008
"5","aba-005",0,5,2,3,1,1,7,"FEJÉR",1,"Aba",5,"005",760,0.0091264667535854,0.533246414602347,0.273794002607562,0.0469361147327249,0.061277705345502,0.029986962190352,0.0091264667535854,0.0169491525423729,0.0091264667535854
"6","abádszalók-001",0,3,2,1,1,1,11,"JÁSZ-NAGYKUN-SZOLNOK",1,"Abádszalók",3,"001",313,0.0188087774294671,0.467084639498433,0.253918495297806,0.0313479623824451,0.13166144200627,0.0407523510971787,0.00940438871473354,0.0156739811912226,0.0125391849529781
"7","abádszalók-002",0,2,2,0,1,0,11,"JÁSZ-NAGYKUN-SZOLNOK",1,"Abádszalók",3,"002",418,0.0141509433962264,0.566037735849057,0.19811320754717,0.0471698113207547,0.080188679245283,0.0495283018867925,0,0.0165094339622642,0.0188679245283019
"8","abádszalók-003",0,2,2,0,1,0,11,"JÁSZ-NAGYKUN-SZOLNOK",1,"Abádszalók",3,"003",369,0.0212201591511936,0.527851458885942,0.262599469496021,0.0238726790450928,0.0822281167108753,0.0610079575596817,0,0.00530503978779841,0.00530503978779841
"9","abádszalók-004",0,3,2,1,1,1,11,"JÁSZ-NAGYKUN-SZOLNOK",1,"Abádszalók",3,"004",368,0.0160427807486631,0.590909090909091,0.237967914438503,0.0240641711229947,0.0588235294117647,0.0401069518716578,0.00267379679144385,0.0106951871657754,0.00267379679144385
"10","abádszalók-005",0,4,2,2,1,1,11,"JÁSZ-NAGYKUN-SZOLNOK",1,"Abádszalók",3,"005",398,0.0124069478908189,0.501240694789082,0.277915632754342,0.032258064516129,0.0843672456575682,0.0719602977667494,0.00248138957816377,0.00496277915632754,0.00744416873449132
